i,j,r,z,p,T,rho,mu,tc,cp,x_N2,x_SiH4,x_H2,omega_N2,omega_SiH4,omega_H2,D_eff_N2,D_eff_SiH4,D_eff_H2,vz,vr
28,40,0.15749999999999997,0.2750943396226415,132.99879728757452,308.1419072182438,0.0014557977306782338,1.8230047361430868e-05,0.027299283185494204,1037.393296907566,0.9899457509423724,0.009759669084398036,0.00029457997322958487,0.988799995929574,0.011178784404656904,2.1219665769121522e-05,0.01360424635593149,0.013303469247755327,0.05640490712196702,1.7936972860343352,4.510251547629913
28,41,0.15749999999999997,0.2818867924528302,133.00577339188249,306.29651911362964,0.001464639017376779,1.8159681920035362e-05,0.027188270159939097,1037.0579174195227,0.9898965718063639,0.009797671925411764,0.0003057562682242875,0.988755608331568,0.01122236682806251,2.2024840369528873e-05,0.01345095970300042,0.013143665493919154,0.05577679438278546,1.8650819444913374,4.301316151252625
28,42,0.15749999999999997,0.28867924528301886,133.011058630837,304.54061676408145,0.0014731410184244168,1.8092737073474167e-05,0.027082135505485674,1036.7308248428994,0.9898622664621768,0.009826255052949802,0.0003114784848733212,0.9887224441273652,0.011255118813237128,2.2437059397636165e-05,0.01330071691891433,0.012992114708061716,0.055181465336899965,1.8893658323887421,3.720506658017883
28,43,0.15749999999999997,0.29547169811320756,133.01461184069188,302.8651266877632,0.001481333671713787,1.8028908818258538e-05,0.026980350079911647,1036.408797083749,0.9898469516350124,0.009841491930918702,0.00031155643406894626,0.9887050104043154,0.011272546969787167,2.2442625897415886e-05,0.013152844852932374,0.012847976262254764,0.05461566444997016,1.8698749544221485,2.897174675568256
28,44,0.15749999999999997,0.3022641509433962,133.01677352825948,301.26134450217376,0.0014892509112067343,1.7967872971377473e-05,0.02688248906167124,1036.0911680468153,0.9898498301378099,0.00984330334763681,0.0003068665145531566,0.9887033255241373,0.01127456978512253,2.2104690740275084e-05,0.013007540805539607,0.01271042517794092,0.054076100211848256,1.8048618664404241,1.9813527671547884
28,45,0.15749999999999997,0.3090566037735849,133.0180329453161,299.720766494146,0.00149692897528248,1.7909293156920533e-05,0.02678818761905924,1035.778713919279,0.989867226712951,0.009833829515072178,0.0002989437719767982,0.9887148147995383,0.011263651341378215,2.1533859083525294e-05,0.012865495913433878,0.012578656160963899,0.053559506714803834,1.6902183447023154,1.1053378134882117
28,46,0.15749999999999997,0.3158490566037736,133.01880729745702,298.2349761361633,0.0015044046810772263,1.785283040821362e-05,0.026697094789820318,1035.472543600752,0.9898946991538159,0.009815805152806239,0.00028949569337788806,0.9887362093236589,0.011242937519555067,2.0853156786060167e-05,0.012727495353789227,0.012451889573810753,0.05306271229563132,1.5250675304868293,0.36043755982468934
28,47,0.15749999999999997,0.32264150943396225,133.01937192481523,296.7955840689542,0.0015117151901438259,1.7798144897547822e-05,0.02660883968888291,1035.1735951445735,0.98992785994414,0.00979207692394675,0.0002800631319132442,0.9887641260330932,0.011215700369204936,2.017359770197705e-05,0.012594134857940014,0.012329368538005177,0.05258264756991283,1.3134410246375263,-0.20799277392307225
28,48,0.15749999999999997,0.32943396226415095,133.0198908402339,295.3941475456442,0.001518899142110917,1.7744897587025913e-05,0.026522988510191678,1034.8820160987382,0.9899633610250821,0.00976505234901662,0.0002715866259012843,0.9887957338077501,0.011184703253160408,1.9562939089520732e-05,0.012465437985822258,0.012210344283554352,0.05211630762829435,1.0658133338666176,-0.5771610547495322
28,49,0.15749999999999997,0.3362264150943396,133.02035819274948,294.0222798375355,0.0015259952064653358,1.769273404583163e-05,0.026439083080253306,1034.598500665746,0.9899960469426807,0.009739063168297249,0.00026488988902201554,0.9888260104847955,0.011154909001488496,1.908051371605576e-05,0.012341289796184608,0.012094094258102428,0.05166077858150265,0.8030635483254459,-0.7485574720902148
28,50,0.15749999999999997,0.3430188679245283,133.02081087579174,292.6715849506214,0.0015330447603689574,1.7641297259657803e-05,0.026356624581717607,1034.3233899537634,0.9900209821979169,0.00971858314819532,0.0002604346538877737,0.9888498013406825,0.011131439085665341,1.875957365222663e-05,0.012221232024451332,0.011979894233233973,0.05121315123581975,0.5463926365981594,-0.7257574566058653
28,51,0.15749999999999997,0.349811320754717,133.02135495414524,291.333644803881,0.0015400920657554682,1.759023441583924e-05,0.026275080181247086,1034.0563859612769,0.9900342829213234,0.009707388230916316,0.0002583288477600723,0.9888627788861507,0.01111861323096193,1.8607882887370963e-05,0.012104490747302127,0.011867015004004798,0.05077051643381822,0.3206966854070152,-0.4901846481193753
28,52,0.15749999999999997,0.35660377358490564,133.02135495414524,290.0,0.001547174664559424,1.753920630162113e-05,0.026193891823864973,1033.796160045688,0.9900342829213234,0.009707388230916316,0.0002583288477600723,0.9888627788861507,0.01111861323096193,1.8607882887370963e-05,0.01199008090958423,0.011754792690952387,0.05033027953850166,0.16676004804990505,0.0
